0,269,3,"{""text"":""codysmile11""}";"{""text"":""was here ""}";"{""text"":""Hi XinXiaoXiin""}";"{""text"":""""}",black,false
0,270,3,"{""text"":""XinXiaoXiin""}";"{""text"":""""}";"{""text"":""""}";"{""text"":""""}",black,false
1,53,6,"{""text"":""buy rusherhack""}";"{""text"":""today at""}";"{""text"":""rusherhack.org""}";"{""text"":""using code bakje""}",black,false
2,269,3,"{""text"":""XcentricCrafter""}";"{""text"":""did some""}";"{""text"":""shenanigans ""}";"{""text"":""here""}",black,false
-7,64,8,"{""text"":""Cmon""}";"{""text"":"">MsBallen""}";"{""text"":""""}";"{""text"":""""}",black,false
34,6,7,"{""text"":""Hot Girls do play""}";"{""text"":""2b2t""}";"{""text"":""www.youtube.com/""}";"{""text"":""@_Starrr_Playz""}",black,false
29,6,2,"{""text"":""Hot Girls do play""}";"{""text"":""2b2t""}";"{""text"":""www.youtube.com/""}";"{""text"":""@_Starrr_Playz""}",black,false
43,273,1,"{""text"":""supersquirrelxl ""}";"{""text"":"":333""}";"{""text"":""""}";"{""text"":""""}",black,false
110,129,0,"{""text"":""courtesy of ""}";"{""text"":""lavamanhero""}";"{""text"":""9/20/23""}";"{""text"":""""}",black,false
109,129,0,"{""text"":""take what you ""}";"{""text"":""need and leave ""}";"{""text"":""some for others""}";"{""text"":""""}",black,false
108,129,0,"{""text"":""heres two kits of""}";"{""text"":""spare gear i ""}";"{""text"":""had, i needed to""}";"{""text"":""drop off""}",black,false
203,134,5,"{""text"":""""}";"{""text"":""""}";"{""text"":""""}";"{""text"":""""}",black,false
209,5,4,"{""text"":""Ninja_Walrus""}";"{""text"":""Larp'd here""}";"{""text"":""Oct 26, 2023""}";"{""text"":""Sub on YouTube""}",black,false
208,5,4,"{""text"":""codysmile11""}";"{""text"":""was here :)""}";"{""text"":""""}";"{""text"":""3 Nov 2023""}",black,false
213,129,1,"{""extra"":[{""text"":""penis""}],""text"":""""}";"{""text"":""""}";"{""text"":""""}";"{""text"":""""}",black,false
212,129,1,"{""extra"":[{""text"":""boutta go explor""}],""text"":""""}";"{""extra"":[{""text"":""e the eastern ""}],""text"":""""}";"{""extra"":[{""text"":""highway""}],""text"":""""}";"{""extra"":[{""text"":""12/26/22 -SS""}],""text"":""""}",black,false
203,133,4,"{""text"":""""}";"{""text"":""""}";"{""text"":""""}";"{""text"":""""}",black,false
229,72,3,"{""text"":""""}";"{""text"":""""}";"{""text"":""""}";"{""text"":""""}",black,false
26,23,21,"{""extra"":[{""text"":"" W  ""}],""text"":""""}";"{""text"":""""}";"{""text"":""""}";"{""text"":""""}",black,false
32,27,19,"{""text"":""""}";"{""text"":""""}";"{""text"":""""}";"{""text"":""""}",black,false
49,7,16,"{""text"":""Hot Girls do play""}";"{""text"":""2b2t""}";"{""text"":""www.youtube.com/""}";"{""text"":""@_Starrr_Playz""}",black,false
42,294,27,"{""text"":""codysmile11 ☑""}";"{""text"":""was here""}";"{""text"":""""}";"{""text"":""30 Aug 2023""}",black,false
